ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
bananacoin,BCO,,,11/29/2017,2/28/2018,2017q4,91,Laos,"Retail,Manufacturing",1,3.1,2,0,0,9,,,,0,1,0,4769155
giftz-io,ITC,12000000,50000000,11/24/2017,2/23/2018,2017q4,91,USA,"Businessservices,Entertainment,Banking,Retail,Media",1,3.3,3,1,0,,0.5,,,0,1,1,1610706
pindify,PDI,6489287.35,39365898.39,11/20/2017,2/19/2018,2017q4,91,Luxembourg,"Platform,Entertainment",0,3.6,6,1,0,9,,,,0,1,0,18342000
yield-coin,YLD,1500000,50000000,3/1/2018,5/31/2018,2018q1,91,UK,"Banking,Cryptocurrency,Investment",1,2.8,0,1,kyc,10,0.5,,,1,1,0,4500000
lionstarter,LST,2500000,20000000,9/1/2018,12/1/2018,2018q3,91,Luxembourg,"Businessservices,Platform,Retail",1,2.7,0,0,kyc&whitelist,6,,,,1,1,0,47500000
virus,VIS,5000000,25000000,4/3/2018,7/3/2018,2018q2,91,Switzerland,"Legal,Platform",1,2.7,0,0,0,5,0.8,,,0,1,0,20000000
konios-project,KON,,29000000,7/1/2018,9/30/2018,2018q3,91,Switzerland,"Internet,Cryptocurrency,Communication,Businessservices,BigData,Banking,Investment,Platform,Retail,Software",1,2.8,1,1,kyc&whitelist,13,0.75,1, USA,1,1,1,30500
pingpaid,PPD,9532320,33000000,7/1/2018,9/30/2018,2018q3,91,Bahamas,"Banking,Cryptocurrency,Retail,SmartContract",1,2.6,0,0,kyc&whitelist,7,0.23,0, Iran,0,1,0,5072578
staramba,STT,,1200000000,8/1/2018,10/31/2018,2018q3,91,Germany,"Platform,ArtificialIntelligence,Realestate,Sports,VirtualReality",1,2.3,4,1,kyc&whitelist,20,0.45,1," United States of America (only accredited investors may participate, completed accreditation form will be required in order to complete KYC), The Peopleâ€™s Republic of China (Hong Kong, Taiwan, Macau are allowed), Singapore, Bosnia and Herzegovina, The Democratic Peopleâ€™s Republic of Korea, Ethiopia, Iran, Iraq, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, Vanuatu, Yemen, Cuba.",1,1,0,21794958
incremint-io,MNTS,,15000000,6/1/2018,8/31/2018,2018q2,91,Cayman Islands,"Cryptocurrency,SmartContract,Investment,Legal",1,2.4,0,1,kyc,7,,1, USA,0,1,1,526
monvid,MVID,500000,5000000,6/1/2018,8/31/2018,2018q2,91,USA,,1,2.1,0,0,0,10,0.7,,,0,0,0,3320190
pontem-inc,PNM,,12500000,4/2/2018,7/2/2018,2018q2,91,Belgium,"Banking,Businessservices,SmartContract",0,1.8,0,0,kyc,4,,0, None,0,0,0,2500000
rados,STN,,75177600,9/1/2017,12/1/2017,2017q3,91,,"Cryptocurrency,Investment",1,1.6,0,1,0,,0.8,,,0,0,0,15028
lucre-global,LCRX,4000000,40000000,10/1/2018,12/31/2018,2018q4,91,USA,"Cryptocurrency,Casino&Gambling",0,3.5,3,1,kyc,8,0.72,1,USA,1,1,1,550000
bixtrim,BXM,6000000,51000000,9/15/2018,12/15/2018,2018q3,91,Georgia,,1,3.7,5,1,kyc,14,0.74,,,1,1,0,650000
cryptohawk,,500000,6000000,4/15/2018,7/15/2018,2018q2,91,Switzerland,"Businessservices,Cryptocurrency,Investment,Software",0,0.6,2,0,0,,,,,0,0,0,700000
loltoken-by-eiu-ac,LOL,10000000,42000000,9/16/2019,12/15/2019,2019q3,90,France,Education,1,4.2,1,0,kyc,11,0.55,1," USA, CHINA",0,1,0,3000000
neironix,NRX,1000000,31000000,9/1/2018,11/30/2018,2018q3,90,Estonia,"Media,Investment,Cryptocurrency,Businessservices,BigData,Platform",1,4.3,16,1,kyc&whitelist,19,0.665,,,0,1,0,3003664
smart-valor,VALOR,2965800,44487000,12/27/2018,3/27/2019,2018q4,90,Switzerland,"Software,SmartContract,Platform,Investment,Internet,Cryptocurrency,Banking",1,4.3,0,1,kyc&whitelist,14,0.45,0," Algeria, Bangladesh, Bolivia, China, Ecuador, Macedonia, Morocco, Nepal, Pakistan, Serbia, South Korea",1,1,0,5882520
foodnation,FOOD,1200000,12000000,4/1/2019,6/30/2019,2019q2,90,Estonia,"Other,Businessservices,Platform,Software",1,3.5,8,1,0,4,0.35,,,0,1,1,150000
shercoin,SHER,3000000,15000000,2/1/2019,5/2/2019,2019q1,90,Cayman Islands,"SmartContract,Manufacturing,Internet,Electronics,Cryptocurrency,Communication,Charity,Businessservices,BigData,Software",1,2,0,1,kyc,13,0.45,1," USA, China, Singapore",0,1,1,36000000
toss,TOSS,2420000,9500000,1/11/2019,4/11/2019,2019q1,90,UK,"Other,Casino&Gambling,Platform",1,3.7,11,1,kyc&whitelist,12,0.5,1," USA, Hong Kong, Singapore",0,1,0,1702799
vikky,VIK,3435750,18278190,5/2/2018,7/31/2018,2018q2,90,Australia,"Businessservices,Communication,Cryptocurrency,Investment,Platform",1,2.2,5,1,0,7,0.76,0, None,0,1,0,147000
iagon,IAG,2458300,24583000,7/7/2018,10/5/2018,2018q3,90,Norway,"Software,Platform,Infrastructure,Businessservices,BigData,ArtificialIntelligence",1,4.2,30,0,kyc,14,0.7,1," USA, China",0,1,1,1425200
block-chain,BC,100000,5500000,8/9/2018,11/7/2018,2018q3,90,Estonia,"Businessservices,Media,Platform",1,3.6,3,0,kyc,9,0.81,,,0,1,0,6665092
midex,MDX,,75000000,1/15/2018,4/15/2018,2018q1,90,Hong Kong,"Platform,Banking,Investment",1,4.5,24,0,kyc,14,0.85,,,0,1,1,22000000
subaj-global-network,SBJ,5000000,70000000,8/2/2018,10/31/2018,2018q3,90,Germany,"ArtificialIntelligence,BigData,Businessservices,Charity,Internet,Platform,Software",1,3.3,0,1,kyc,10,0.5,,,0,1,1,5000000
arcona,ARCONA,1460048.2,25000000,4/15/2018,7/14/2018,2018q2,90,Gibraltar,"Entertainment,Platform",1,4.1,27,0,kyc&whitelist,10,0.6,0," BOSNIA-HERZEGOVINA, CHINA, ETHIOPIA, IRAN, IRAQ, NORTH KOREA, SOUTH KOREA, SYRIA, TRINIDAD, and TOBAGO, VANUATU, YEMEN",0,1,0,3165000
dmarket,DMarket,,,8/17/2017,11/15/2017,2017q3,90,Ukraine,Entertainment,1,3.8,25,1,0,4,,1," USA, China, Israel",0,1,0,19069000
ambit,AMBT,3000000,40000000,3/3/2018,6/1/2018,2018q1,90,Georgia,"Cryptocurrency,Infrastructure",1,3.5,2,0,kyc&whitelist,19,0.85,1, USA,1,1,1,4000000
confideal,CDL,,61054000,3/1/2018,5/30/2018,2018q1,90,Russia,"Software,Businessservices,Cryptocurrency",1,3.4,10,1,0,13,0.8,,,0,1,0,109780
soraix,SRX Token,4500000,24000000,8/26/2019,11/24/2019,2019q3,90,Switzerland,"Cryptocurrency,Platform",1,3.9,5,1,0,10,0.6,,,0,1,0,189
darenta,PROD,,149982372.5,12/31/2017,3/31/2018,2017q4,90,Russia,Platform,1,2.8,2,0,0,,,,,0,1,0,524913
edgecoin,EST,1041680,8333440,1/6/2018,4/6/2018,2018q1,90,Germany,"Cryptocurrency,Education",1,3.2,7,0,kyc,6,0.4,1," US, China",0,1,1,397916
index-coin,XIC,,200000000,10/2/2017,12/31/2017,2017q4,90,USA,Investment,1,2.7,2,0,0,5,0.7,,,0,1,0,191819
icoheadstart,MOAT,,16168350,3/26/2018,6/24/2018,2018q1,90,Netherlands,"Businessservices,Communication,Cryptocurrency,Investment,Platform",1,3.1,5,1,0,14,0.15,1, USA,0,1,0,11710261
nocturus,NOCT,2180500,16571800,3/1/2018,5/30/2018,2018q1,90,USA,"Businessservices,Tourism",1,2.9,0,1,kyc&whitelist,14,0.33,0," Eritrea, Iran, Libya, Somalia, South Sudan, Sudan, Yemen",0,1,0,2000000
astorgame,ASTOR,,,1/29/2018,4/29/2018,2018q1,90,Argentina,"Platform,Entertainment,Casino&Gambling,Sports",1,3,4,1,0,5,0.6,,,0,1,0,11200000
dapcash,DAPG,1865.8,313454.4,12/7/2018,3/7/2019,2018q4,90,Russia,"Cryptocurrency,Infrastructure",0,2.7,0,0,0,8,0.7,,,0,0,0,13008
smartgold,SGT,7000000,14200000,1/25/2018,4/25/2018,2018q1,90,Tanzania,"Investment,Manufacturing",1,2.7,0,0,0,13,0.8,1, USA,0,1,1,4274582
rucoin,RUC,1291920,12919200,1/15/2018,4/15/2018,2018q1,90,Russia,"Cryptocurrency,Retail,Businessservices",1,2.8,1,1,0,5,,,,0,1,1,1168995
smartgenie-io,SMAG,500000,30000000,1/15/2018,4/15/2018,2018q1,90,Germany,"Communication,Infrastructure,Internet",1,2.4,0,0,0,12,0.8,,,0,0,0,5550000
earth-token,ETN,27378000,136890000,12/15/2017,3/15/2018,2017q4,90,South Africa,"Platform,Businessservices",0,3,4,0,0,11,0.6,,,0,1,0,20000000
macroverse,MRV,,5851600,7/1/2017,9/29/2017,2017q3,90,USA,Entertainment,1,1.6,1,0,0,1,,,,0,0,0,3003
hubrisone,HBRS,100000,6000000,1/1/2019,3/31/2019,2019q1,89,UK,"Banking,Cryptocurrency,Investment,Platform",1,3.5,6,1,kyc,5,0.6,1," USA, China",0,1,0,500000
aerum,XRM,3000000,6000000,1/1/2019,3/31/2019,2019q1,89,Seychelles,"SmartContract,Platform,Internet,Cryptocurrency,Businessservices,Software",1,4,3,1,kyc&whitelist,12,0.2,1, USA,0,1,1,5123054
cryptohit,GAC,5000000,28500000,7/13/2018,10/10/2018,2018q3,89,Cyprus,"Investment,Entertainment,Cryptocurrency,Businessservices,Platform,SmartContract",1,3.5,1,1,0,8,0.57,0, None,1,1,0,1080412
crypto-bnb,CKey,1500000,15000000,2/25/2018,5/25/2018,2018q1,89,Marshall Islands,Realestate,1,3.3,5,1,kyc&whitelist,11,0.3,1, USA,0,1,0,606584
domuscoins,DOC,1000000,10000000,1/31/2018,4/30/2018,2018q1,89,UK,"Realestate,Tourism",1,3.3,0,1,kyc,4,0.01,,,0,1,0,1000000
hamster-marketplace,HMT,2000000,14000000,2/19/2018,5/19/2018,2018q1,89,UK,Retail,1,4,15,0,0,16,0.7,,,0,1,1,4384281
prokarex,PKX,966050,4830250,4/2/2018,6/30/2018,2018q2,89,Switzerland,"ArtificialIntelligence,Cryptocurrency,Platform",1,2.9,0,0,kyc,21,0.6,1, USA,0,1,0,761688
armpack,ARM,1000000,,1/31/2018,4/30/2018,2018q1,89,Russia,"Businessservices,Cryptocurrency,Platform,SmartContract",1,2.8,0,1,0,8,0.93,0, no,0,1,0,11046627
artis-turba,ARTIS,,21376000,11/29/2017,2/26/2018,2017q4,89,South Africa,"Cryptocurrency,Investment",1,2.6,1,1,0,,0.57,,,0,1,0,5000000
cryptocells,CC9,,,10/3/2019,12/31/2019,2019q4,89,Germany,Health,1,2.7,0,0,kyc,6,,1," USA, China, Singapore",0,1,0,255284
plannerscape,PLAN,,4800000,3/15/2019,6/12/2019,2019q1,89,Hong Kong,Platform,1,2.4,0,0,0,4,0.46,,,0,1,0,39563
hade,HADE,,7500000,12/1/2017,2/28/2018,2017q4,89,USA,"Cryptocurrency,Platform,Investment",1,2.6,2,1,0,6,0.5,,,0,0,0,4135500
geeba,GBA,3200000,28000000,1/1/2019,3/30/2019,2019q1,88,Netherlands,"SmartContract,Platform,Infrastructure,Businessservices,ArtificialIntelligence",1,4.1,12,1,kyc,13,0.7,1," USA, China, Iran",1,1,0,3600000
cures,CURES,215220,18831750,2/1/2019,4/30/2019,2019q1,88,Bulgaria,Health,1,3.6,1,0,kyc,27,0.35,1, USA,1,1,0,308780
cinemawell-com,APLC,50,144000000,2/1/2018,4/30/2018,2018q1,88,Ukraine,"Cryptocurrency,Entertainment",1,3.1,1,1,kyc&whitelist,5,0.48,,,0,1,1,81
mcx,MCX,,40000000,10/5/2017,1/1/2018,2017q4,88,Thailand,"Cryptocurrency,Platform",0,2.9,0,0,0,1,0.15,,,0,1,0,139731
nucleus,nCash,5000000,40000000,11/1/2017,1/28/2018,2017q4,88,USA,"Platform,Retail",1,3.1,6,0,kyc&whitelist,24,0.5,,,0,1,0,40000000
arcade-city,ARC,,,11/30/2017,2/26/2018,2017q4,88,USA,"Platform,Infrastructure",1,1.4,3,0,0,7,,,,0,1,0,635000
lynked-world,LYNK,5000000,25000000,11/15/2018,2/10/2019,2018q4,87,Netherlands,"Businessservices,Platform,Software",1,4.4,19,1,kyc,21,0.75,1," USA, Syria",0,1,0,6215494
bubbletone,UMT,,19500950,3/20/2018,6/15/2018,2018q1,87,Russia,"Communication,Platform",0,4.4,32,0,kyc&whitelist,25,0.5,,,1,1,0,8600000
pbet,PBET,2000000,17500000,8/5/2019,10/31/2019,2019q3,87,Cyprus,Casino&Gambling,1,4.1,5,0,0,14,0.7,1," Citizens of China, Singapore, and USA are restricted from participating in Token Sale.",0,1,1,250000
swachhcoin,SCX,5000000,15000000,8/15/2018,11/10/2018,2018q3,87,India,"ArtificialIntelligence,BigData,Cryptocurrency,Energy,SmartContract",1,4,13,0,kyc,14,0.69,,,0,1,1,11000000
bablos,BLS,464660,3885840,9/5/2018,12/1/2018,2018q3,87,Russia,"Art,Cryptocurrency,Entertainment,Internet,Investment,Legal,Media",1,2.1,2,0,0,8,0.85,1, USA,0,1,0,4068000
realty-crypto-investment,RCI,5000000,45000000,2/22/2018,5/20/2018,2018q1,87,Czech Republic,Realestate,1,2.3,0,0,0,7,0.9,,,0,1,0,126000
boomstarter-network,BC,3000000,20000000,8/6/2018,10/31/2018,2018q3,86,Singapore,"Investment,Internet,Cryptocurrency,Charity,Businessservices,Platform,SmartContract",1,3.9,12,1,kyc,11,0.75,1," United States of America, Afghanistan, Burundi, Myanmar, Cote dâ€™Ivoire, Cuba, Democratic Republic of Congo, Democratic Peoplesâ€™ Republic of Korea, New Zealand, Iran, Iraq, Liberia, Lebanon, Libya, Rwanda, Sierra Leone, Somalia, Sudan, Syria, Thailand, Tanzania, Uganda, Zaire, Zimbawe",0,1,1,3480368
ticko,TICK,2000000,20000000,4/25/2018,7/20/2018,2018q2,86,Luxembourg,"Platform,SmartContract,Tourism",1,3.4,1,1,kyc,6,0.5,,,0,1,1,4500000
aida,AID,3000000,15000000,2/28/2018,5/25/2018,2018q1,86,Estonia,Platform,1,2.8,6,1,0,12,0.76,,,1,1,0,2304106
airwallet,AIR,200000,1200000,3/21/2019,6/14/2019,2019q1,85,Singapore,"Cryptocurrency,Platform",1,3.5,0,1,kyc,11,0.3,,,0,1,0,900000
flogmall,MLC,8000000,24000000,4/26/2018,7/20/2018,2018q2,85,Russia,"Platform,Retail",1,3.7,18,1,kyc,14,0.738,1, USA,0,1,1,23212696
rentberry,BERRY,3000000,30000000,12/5/2017,2/28/2018,2017q4,85,Gibraltar,Realestate,1,4,23,0,0,25,0.7,,,0,1,0,27500000
olxa,OLXA,1000000,3000000,3/1/2018,5/25/2018,2018q1,85,Germany,"Businessservices,Banking,Communication,Cryptocurrency,Electronics,Manufacturing,Platform",1,2.5,3,1,0,9,0.58,,,0,1,1,141200
arbitraging,ARB Token,,,1/15/2018,4/10/2018,2018q1,85,Singapore,Platform,1,2,1,0,0,7,,,,0,0,0,6000000
creatanium,CMB,10000000,150000000,6/6/2018,8/30/2018,2018q2,85,Singapore,,1,2.1,1,1,kyc,10,0.39,,,0,1,0,20778000
mining-now,MNW,,,12/5/2017,2/28/2018,2017q4,85,Bulgaria,"Electronics,Manufacturing",1,2.3,1,1,0,6,,,,0,0,0,4264750
quantocoin,QTCt,5000000,,7/8/2019,9/30/2019,2019q3,84,Gibraltar,"Banking,Cryptocurrency,Investment,Platform",0,3.3,6,1,kyc,4,0.78,1," South Korea, USA, China, Yemen, Somalia, Sudan",1,1,0,9803700
atfs-project,ATFS,2183875,8735500,9/27/2019,12/20/2019,2019q3,84,Cayman Islands,"Platform,Cryptocurrency,Businessservices,Retail,Health",1,3.7,12,1,0,7,0.65,,,0,1,0,1519106
go-cubo-lodge-club,GO,1633900,44115300,3/6/2018,5/29/2018,2018q1,84,Cyprus,"Infrastructure,Realestate,Tourism",1,3,0,0,0,8,0.8,,,0,1,0,13685000
pinnacle-brilliance,BRIL,,,1/31/2018,4/25/2018,2018q1,84,Belize,Investment,0,2.7,1,0,0,16,,,,0,1,1,2000000
sharpe-capital,SHP,,20000000,11/13/2017,2/4/2018,2017q4,83,UK,"Software,Platform,Communication,Businessservices",1,3.4,4,1,0,6,,,,0,1,1,5708250
winkpark,TALAR,4500000,85000000,10/9/2018,12/31/2018,2018q4,83,Poland,"Communication,Electronics,Internet,Media",1,2.5,1,1,0,2,0.5,,,0,1,0,5000000
crypt-on,IPT,4000000,16000000,10/31/2018,1/21/2019,2018q4,82,Cyprus,"Businessservices,Platform",1,4,18,1,0,12,1,,,0,1,1,3750450
elyqd,LYQD,2000000,15000000,10/8/2018,12/29/2018,2018q4,82,USA,Internet,1,3.7,0,0,0,9,0.6,1," USA, China, Afghanistan, Central African Republic, Congo, North Korea, Eritrea, Ethiopia, Guinea-Bissau, Iran, Iraq, Lebanon, Libya, Mali, Serbia, Somalia, South Sudan, Sri Lanka, Sudan, Syria, Trinidad and Tobago, Tunisia, Vanuatu, Yemen",0,1,0,1835000
super-ethereum,STH,1800000,22000000,3/1/2018,5/22/2018,2018q1,82,Afghanistan,"Cryptocurrency,Investment,Platform",1,2.6,0,0,0,14,0.75,0, None,0,1,0,21000000
linkeye,LET,,400000000,11/10/2017,1/31/2018,2017q4,82,Singapore,Platform,1,2.2,0,0,0,6,0.7,,,0,1,0,1600000
7ype,7ype,,778150,7/17/2017,10/7/2017,2017q3,82,UK,Entertainment,1,1.3,0,0,0,,,,,0,1,0,240872
bitnautic,BTNT,2232600,35000000,7/11/2018,9/30/2018,2018q3,81,Switzerland,"Platform,Investment,Cryptocurrency,Businessservices,SmartContract",1,4.4,15,1,kyc&whitelist,13,0.7,,,1,1,1,16132900
ozex,OZEX,,17000000000,6/20/2018,9/9/2018,2018q2,81,Australia,"Investment,Cryptocurrency,Businessservices,Platform,Realestate",1,3,0,0,kyc,5,0.4,1," USA, Canada",0,1,0,4681990
tokendesk,TDS,,,10/4/2017,12/24/2017,2017q4,81,UK,,1,3,2,0,0,5,,,,1,1,0,15382442
bitsmo,BTSM,3000000,20000000,7/25/2018,10/14/2018,2018q3,81,Estonia,,1,2.3,0,0,kyc&whitelist,6,0.5,,,0,1,1,4600000
vegawallet,VGW,3500000,40000000,9/17/2018,12/6/2018,2018q3,80,Malta,"Cryptocurrency,Businessservices,Platform,Software",1,4,0,0,kyc,13,0.6,,,1,1,0,6294962
coinloan,CLT,3000000,56000000,11/26/2017,2/14/2018,2017q4,80,Estonia,"Platform,Cryptocurrency,Investment,Banking",1,3.7,11,0,0,9,0.9,,,1,1,0,3200000
contractium-io,CTU,2000000,10000000,11/11/2018,1/30/2019,2018q4,80,British Virgin Islands,"Businessservices,SmartContract,Software",1,3.5,0,1,kyc,9,0.5,1," USA, China",0,1,0,5700000
cryptosolartech,,1191202.29,86458260,5/1/2018,7/20/2018,2018q2,80,Spain,"Cryptocurrency,Energy",1,3.5,1,0,kyc&whitelist,24,0.8,1," USA, China",1,1,0,60000000
pcc,PPC,,36835300,9/1/2017,11/20/2017,2017q3,80,Russia,Entertainment,1,1.8,0,0,0,10,0.6,,,0,1,0,1150000
bitcar,BITCAR,5000000,22000000,1/31/2018,4/20/2018,2018q1,79,Singapore,"Cryptocurrency,Art,Platform,Software",1,3.5,6,0,kyc,12,0.5,,,1,1,0,9230000
proncoin,PRON,690000,6900000,1/1/2018,3/21/2018,2018q1,79,UK,Entertainment,1,2.2,0,0,0,2,,,,0,0,0,6900000
gstar,GOX,2816400,5632800,1/1/2019,3/20/2019,2019q1,78,Japan,Platform,1,3.2,0,1,kyc,6,0.5,,,1,1,1,20000
yobit,YBC,2500000,7500000,8/1/2018,10/18/2018,2018q3,78,Canada,"Platform,Casino&Gambling",1,2.7,0,0,kyc,5,0.7,,,0,1,0,9736144
allforminer,MIT Token,500000,2500000,5/15/2018,8/1/2018,2018q2,78,Czech Republic,"Cryptocurrency,Investment",1,2.4,0,0,0,8,0.5,0, None,0,1,0,553600
bitdepositary,BDT,1000000,50000000,8/29/2018,11/14/2018,2018q3,77,Malta,"Legal,Businessservices,Banking,Platform",1,4.1,3,1,kyc&whitelist,15,0.63,0," Iran, North Korea, Syria, Sudan, Cuba",0,1,1,25000000
dbrain,DBR,5000000,20000000,4/15/2018,7/1/2018,2018q2,77,Cayman Islands,"Internet,Infrastructure,Cryptocurrency,Businessservices,BigData,ArtificialIntelligence,Software,Platform",1,3.1,20,0,kyc&whitelist,,0.4,1, USA,0,1,0,2500000
jury-online,JOT,3000000,6000000,2/12/2018,4/30/2018,2018q1,77,Estonia,"Legal,Businessservices,Platform",0,4.1,8,0,0,12,0.7,,,0,1,1,3927409
accounting-blockchain,TAB,4000000,64400000,7/15/2018,9/30/2018,2018q3,77,Malta,"Businessservices,Platform,Software",1,3,1,1,kyc&whitelist,14,0.37,1, USA,0,1,0,4000000
oneplusone,CHK,1000000,15000000,11/30/2018,2/15/2019,2018q4,77,Russia,,1,3.4,4,0,0,,0.75,0, China,0,1,0,155776
greenx,GEX,1772175,225000000,5/15/2018,7/31/2018,2018q2,77,Singapore,"Infrastructure,Energy,Cryptocurrency,Businessservices,ArtificialIntelligence,Investment,SmartContract",1,3.6,2,0,kyc&whitelist,8,0.6,,,0,1,0,1374240
tripterium-t50,T50,491000,24550000,6/15/2018,8/31/2018,2018q2,77,Cayman Islands,Investment,1,3.8,1,0,kyc,5,0.87,1," Afghanistan, Belarus, Bosnia-Herzegovina, Burundi, China, Congo, North Korea, Egypt, Eritrea, USA, Ethiopia, Guinea, Guinea-Bissau, Guyana, Iran, Iraq, Laos, Lebanon, Libya, Mali, Ouganda, Central African Republic, Somalia, South Sudan, Sudan, Sri Lanka, Syria, Trinidad, Tunisia, Ukraine, Venezuela, Vanuatu, Yemen, Zimbabwe",1,1,0,12724751
connectjob,CJT,7000000,12000000,2/12/2018,4/30/2018,2018q1,77,Gibraltar,Platform,1,3.7,6,1,0,24,0.65,,,0,1,0,10437623
tokenlab,LAB,,,9/14/2017,11/30/2017,2017q3,77,USA,"Platform,Cryptocurrency,Investment,Software",0,3.5,3,1,0,12,,,,0,0,0,1467
icoin-ieo,ICOIN,3500000,10000000,8/5/2019,10/21/2019,2019q3,77,Sierra Leone,Cryptocurrency,1,3.9,0,0,0,4,0.0167,1," USA, Canada, Cuba, North Korea, Iran, Pakistan, Syria, Venezuela, Crimea",1,1,1,200000
bitcomo,BM,,,12/1/2017,2/16/2018,2017q4,77,Singapore,"Investment,Platform",0,3.1,2,0,0,14,0.72,,,0,0,0,3731609
easymine,EMT,6302457,6383664,8/10/2017,10/26/2017,2017q3,77,Poland,Cryptocurrency,0,2.8,0,1,0,11,0.818,,,0,1,0,1000000
pm7,PM7,,12500000,12/17/2017,3/4/2018,2017q4,77,UK,,1,3.2,2,1,0,10,0.5,,,1,1,0,2007807
shipowner-io,SHIP,3764150,37641500,3/7/2018,5/23/2018,2018q1,77,UK,Investment,1,2.8,0,1,kyc&whitelist,14,0.55,1," USA, Canada, China, Algeria, Bolivia, Bangladesh, Dominican Republic, Ecuador, Kyrgyzstan, Nepal",0,1,0,30000000
kelta,KLT,2000000,10000000,3/5/2018,5/21/2018,2018q1,77,Slovakia,"BigData,Infrastructure,Investment,Platform",1,2.3,0,1,whitelist,8,0.8,,,0,1,0,37378158
bips,BiPS,10760,64000000,11/15/2018,1/31/2019,2018q4,77,UK,"Banking,Cryptocurrency,Internet,Investment,Realestate,SmartContract,Software",1,2.9,2,1,kyc&whitelist,18,0.1,1,"USA, China, Bangaldesh, Pakistan, Russia",0,1,0,64000000
kimera,KIMERA,7075000,70750000,6/15/2018,8/31/2018,2018q2,77,USA,"Infrastructure,ArtificialIntelligence,Internet",1,3.8,2,1,kyc&whitelist,12,0.5,,,0,1,1,1524775
peerplays,PPY,,,2/26/2017,5/14/2017,2017q1,77,Canada,"Entertainment,Platform,Software",0,1.5,0,0,0,,0,,,0,0,0,500000
gym-ledger,LGR,4000000,20000000,10/16/2018,12/31/2018,2018q4,76,USA,"Health,Sports,Platform",1,3.5,1,1,kyc,4,0.2,,,0,1,1,6877718
sportgift-ico,SPORTG,600000,3000000,7/1/2019,9/15/2019,2019q3,76,Ecuador,Sports,1,3.6,1,0,0,9,0.52,0, Any,0,1,1,16600000
gagapay-network,GTA,1000000,34500000,4/30/2018,7/15/2018,2018q2,76,UK,"Businessservices,Platform,SmartContract,Software",0,3.1,2,1,kyc&whitelist,7,0.69,,,0,1,1,1294288
docademic,MTC,620739,14483910,1/29/2018,4/15/2018,2018q1,76,Mexico,Health,1,4,8,1,0,10,0.35,,,0,0,1,1100000
tap-project,TTT,500000,22219500,11/5/2017,1/20/2018,2017q4,76,Canada,Entertainment,1,2.9,0,0,0,,0.5,,,0,1,0,1407572
biofactorycoin,BFC,,,12/7/2017,2/21/2018,2017q4,76,UK,"Manufacturing,Platform,Health",1,2.3,2,1,0,4,,,,0,1,0,39223918
ethernal-heroes,,1500000,5000000,3/16/2018,5/31/2018,2018q1,76,Russia,Entertainment,1,2.2,1,0,0,7,0.625,,,0,0,0,92921
max-crowdfund,MPG,546400,5464000,10/1/2019,12/15/2019,2019q4,75,Netherlands,"Businessservices,Investment,Platform,Realestate",0,4.3,4,1,kyc,7,0.125,0," None as MPG is a utility token, and anyone can use it to register transactions on the Max Property Group blockchain via the Max Crowdfund platform. We aim to be a global real estate platform, and people in North-Korea, and Iran rent, and buy houses too. Restrictions on investments in fundraising projects offered on Max Crowdfund apply.",1,1,0,750000
stacktical,DSLA,1147100,3441300,1/15/2019,3/31/2019,2019q1,75,France,"Internet,Infrastructure,ArtificialIntelligence,Legal,SmartContract",1,4.3,8,1,kyc,5,0.5,1," Bahamas, Botswana, Canada, China, Cuba, Democratic People's Republic of Korea (DPRK), Ethiopia, Ghana, Iran, Iraq, Pakistan, Serbia, Sri Lanka, Sudan, Syria, Trinidad and Tobago, Tunisia, United States of America , Yemen",0,1,1,1170000
fanfare,FAN,4000000,40000000,8/17/2018,10/31/2018,2018q3,75,Singapore,"Retail,Platform,Media",1,3.9,24,1,kyc&whitelist,7,0.4525,1," USA, China, North Korea, Republic of the Congo, Eritrea, Ethiopia, Iran, Iraq, Libya, Somalia, Serbia, Sri Lanka, South Sudan, Sudan, Syria, Trinidad and Tobago, Tunisia, Vanuatu, Yemen",0,1,0,9000000
ironx,IRX,18000000,50000000,11/1/2018,1/15/2019,2018q4,75,Estonia,Cryptocurrency,1,4.3,3,1,kyc&whitelist,21,0.4,1," USA, Cyprus, Burma, Cuba, Iran, North Korea, Syria, Crimea Region, Bangladesh, Bolivia, Sudan, Ecuador, Egypt, Kyrgyzstan, Japan, Korea, China, Morocco, and Namibia",1,1,0,26319447
crypterium,CRPT,3234200,47000000,10/31/2017,1/14/2018,2017q4,75,Estonia,"Banking,Cryptocurrency,Software",1,3.6,23,0,0,15,0.7,,,1,1,0,51656963
finlocale,FNL,2000000,25000000,10/1/2018,12/15/2018,2018q4,75,Estonia,"Cryptocurrency,Investment",1,3.9,0,1,kyc&whitelist,5,0.5,1," China, US, Bolivia, Ecuador, Pakistan, Algeria, Macedonia, and Morocco",0,1,0,2520000
sword-coin,SWDC,1000000,50000000,6/1/2018,8/15/2018,2018q2,75,Hong Kong,"Cryptocurrency,Investment,Platform,SmartContract",1,3.8,0,1,kyc&whitelist,9,0.75,0, None,1,1,0,20660000
