ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
gimli,GIM,,,9/16/2017,10/20/2017,2017q3,34,Malta,"Casino&Gambling,Entertainment",1,3.1,3,0,0,9,0.53,,,0,1,0,1702589
healthureum,HHEM,15000000,,2/26/2018,4/1/2018,2018q1,34,Estonia,"Health,Platform,Entertainment",1,3.1,3,0,0,4,0.29,,,0,1,0,40000000
peur,PURC,2500000,25000000,4/24/2018,5/28/2018,2018q2,34,Australia,"Businessservices,Cryptocurrency,Investment,Platform,Retail",1,2.7,2,1,whitelist,10,0.65,,,0,1,0,2900000
lockchain,LOC,6101800,9762880,10/29/2017,12/1/2017,2017q4,33,Bulgaria,Tourism,0,3.4,0,0,0,20,0.5,,,0,1,0,4000000
lamden,TAU,,10000000,12/1/2017,1/3/2018,2017q4,33,Switzerland,"Businessservices,Infrastructure",0,3.5,3,0,0,5,0.686,,,0,1,1,10000000
zue,ZUE,3000000,50000000,9/27/2018,10/30/2018,2018q3,33,Singapore,Platform,1,2.8,0,0,kyc&whitelist,6,0.3,0, None,0,1,0,3000000
cederis,ISP,50000,,1/16/2018,2/18/2018,2018q1,33,Spain,"Platform,Internet,Infrastructure,Communication",1,2.9,2,0,0,4,,,,0,1,0,55385
chrysos,CHR,,,12/27/2017,1/29/2018,2017q4,33,Singapore,Cryptocurrency,0,1.8,0,0,kyc,,0.7,,,0,1,1,13000000
bethereum,BETHER,,10825000,6/28/2018,7/31/2018,2018q2,33,Hong Kong,"Entertainment,Cryptocurrency,Casino&Gambling,Platform,SmartContract,Software,Sports",0,3.8,27,1,whitelist,14,0.6,1,"USA, China, Hong Kong",0,1,1,18440000
komodo,KMD,,,10/15/2016,11/16/2016,2016q4,32,Malta,"Businessservices,Infrastructure,Other,Platform,SmartContract",0,4.2,4,0,0,28,,,,0,1,0,1983781
refine-medium,XRM,,,10/19/2019,11/20/2019,2019q4,32,Hong Kong,"Cryptocurrency,Entertainment,Media,Platform,SmartContract",1,4,3,1,0,8,,1," USA, Ethiopia, Iran, Iraq, Serbia, Sri Lanka ,Syria, Trinidad and Tobago, Tunisia, Vanuatu, Yemen",0,1,1,42000
joytoken,JOY Token,1000000,46340000,3/20/2018,4/21/2018,2018q1,32,UK,"BigData,Cryptocurrency,SmartContract,Software",1,2.8,7,0,kyc&whitelist,14,0.5,1," China, USA",0,1,1,3340000
neo,NEO,,,8/8/2017,9/9/2017,2017q3,32,China,"Cryptocurrency,Platform",0,4.2,7,0,0,16,,,,0,1,0,9800000
mdl-talent-hub,MDL,8200000,15000000,8/24/2018,9/25/2018,2018q3,32,Russia,"Communication,Businessservices,BigData,Art,Education,Entertainment,Internet,Media,Other,Platform,Software",0,4.1,15,1,kyc&whitelist,7,0.4,,,0,1,0,2464880
1world,1WO,5000000,,10/5/2017,11/6/2017,2017q4,32,USA,"Cryptocurrency,Businessservices,Software,Internet,Media",1,3.3,2,0,0,58,,,,1,1,0,8300000
rotharium,RTH,,382238430,12/13/2017,1/14/2018,2017q4,32,Austria,Platform,1,2.9,0,0,0,9,0.579,,,0,1,0,5000000
bloom,BLT,,50000000,11/30/2017,1/1/2018,2017q4,32,USA,"Platform,Banking,Infrastructure",1,3.2,5,0,0,5,0.5,,,0,1,0,41420705
eticket4,ET4,85368,11780784,3/5/2018,4/6/2018,2018q1,32,British Virgin Islands,"Entertainment,Platform",1,3,0,1,kyc&whitelist,2,0.46,,,0,1,1,1003588
royal-kingdom-coin,RKC,,300000,7/10/2017,8/11/2017,2017q3,32,United Arab Emirates,Cryptocurrency,1,3,0,0,0,9,0.2,,,0,1,0,577200
algotrading,ALGO,,,7/15/2019,8/16/2019,2019q3,32,UK,"ArtificialIntelligence,Businessservices,Investment,Platform,Software",1,2.9,0,0,kyc,4,0.7,1, US citizens,0,1,0,122400000
coinlancer,CL,,,10/14/2017,11/15/2017,2017q4,32,United Arab Emirates,Platform,1,2.8,1,0,0,16,0.93,,,0,0,0,11000000
ethearnal,ERT Token,,30000000,2/28/2018,4/1/2018,2018q1,32,Hong Kong,Internet,1,2.9,4,0,whitelist,8,0.75,,,0,0,0,218482
fluxorin,TFT,,55000000,7/30/2018,8/31/2018,2018q3,32,Germany,Media,1,2.9,0,0,kyc&whitelist,10,0.53,1," USA, China",0,1,1,13142268
agrello,DLT,,43240000,7/16/2017,8/17/2017,2017q3,32,Estonia,"Platform,Cryptocurrency",1,2.8,0,0,0,7,,,,0,1,0,35000000
madnetwork,MAD,25000000,55000000,12/14/2017,1/15/2018,2017q4,32,USA,"Businessservices,Platform,Media",1,3,1,0,0,4,,,,0,0,0,25000000
nimfamoney,NIMFA,,,8/29/2017,9/30/2017,2017q3,32,Russia,"Cryptocurrency,Banking,Investment",1,2.8,0,0,0,4,,,,0,1,0,152515
simdaq,SMDQ,500000,5000000,1/25/2018,2/26/2018,2018q1,32,Russia,"Platform,Cryptocurrency,Businessservices,Education,BigData",1,2.8,2,0,0,6,0.7,,,1,1,0,5000000
admine,MediaCoin,,,3/19/2018,4/20/2018,2018q1,32,UK,"Cryptocurrency,Manufacturing",1,3.3,3,1,0,11,0.65,,,0,0,0,1351227
new-era-energy,CGRID,250000,7000000,8/31/2018,10/2/2018,2018q3,32,Singapore,"Cryptocurrency,Energy,Tourism,VirtualReality",1,2.8,1,0,kyc&whitelist,8,0.3,1," USA, China",0,1,0,6000000
hellenic-node-project,HellenicNode/HN,80000,100000,7/15/2018,8/16/2018,2018q3,32,Greece,"Cryptocurrency,Internet,Platform,Sports",0,2.7,0,0,kyc&whitelist,5,,,,0,1,0,80000
cryptoglobal-markets,CGX,600000,8000000,4/30/2018,6/1/2018,2018q2,32,UK,"Investment,Internet,Cryptocurrency,Businessservices,Banking,Platform,SmartContract",0,2.4,1,0,0,4,0.75,1," USA, China, South Korea, Cuba, Iran, North Korea, Syria, Crimea Region",0,1,1,50000
infinitus-token,INF,2500000,20000000,8/18/2018,9/19/2018,2018q3,32,Singapore,Platform,1,2.6,0,0,0,11,0.85,1," USA, Canada, China",0,1,0,11000000
taas,TaaS,,,3/27/2017,4/28/2017,2017q1,32,Singapore,"Businessservices,Platform",0,2.8,3,0,0,4,,,,0,0,0,7500000
namacoin,NAM Token,1000000,20000000,1/5/2019,2/6/2019,2019q1,32,Italy,BigData,1,2.3,0,0,kyc&whitelist,7,0.5,1," USA, China",0,1,0,1000000
traxia,TMT,,15100000,5/1/2018,6/2/2018,2018q2,32,Switzerland,"Banking,Businessservices,SmartContract",1,2.2,0,0,kyc&whitelist,11,0.4,0, None,0,1,1,15000000
the-legends-room,VIP,,,4/18/2017,5/20/2017,2017q2,32,USA,"Entertainment,Cryptocurrency",0,1.1,7,0,0,,0.179747484,,,0,0,0,1000000
boontech,BOON,1000000,10000000,12/15/2017,1/16/2018,2017q4,32,USA,Platform,1,2.6,0,0,0,4,0.5,,,1,1,0,5000000
mdk,MDK,,1200000,11/29/2017,12/31/2017,2017q4,32,Russia,"Platform,Entertainment",1,2.5,3,0,0,9,0.5,,,0,1,0,66560
solve-care,CAN Token,3000000,20000000,3/31/2018,5/1/2018,2018q1,31,Estonia,Health,0,3.9,9,1,kyc,2,0.35,,,0,1,1,20000000
knl-ecosystem,KNL,350000,1700000,8/27/2019,9/27/2019,2019q3,31,Estonia,"Platform,Manufacturing,Investment,Infrastructure,Cryptocurrency,Realestate",1,3.5,1,1,kyc,6,0.6,1, USA,0,1,0,370000
mega-x,MGX,1000000,,10/17/2017,11/17/2017,2017q4,31,Singapore,"Cryptocurrency,Platform,Retail",1,3.9,2,0,0,8,0.7,,,0,1,1,2474160
raido-financial,RF,915225,6438546.86,1/15/2019,2/15/2019,2019q1,31,Belize,"Platform,Investment,Cryptocurrency",1,4.2,8,0,kyc&whitelist,15,0.7,1," USA, China, North Korea, Singapore",0,1,1,920000
sapien,SPN,,30000000,3/3/2018,4/3/2018,2018q1,31,USA,"Platform,Cryptocurrency,Entertainment,Communication",1,4.4,33,1,0,6,0.45,,,0,1,1,10501153
sharering,SHR,,38000000,6/3/2018,7/4/2018,2018q2,31,Malta,"BigData,Businessservices,Cryptocurrency,Infrastructure,Platform,SmartContract,Software",1,4.1,12,1,kyc,7,0.525,1," USA, China",0,1,1,1550980
crypto-angel,ANGEL,500000,7500000,7/7/2018,8/7/2018,2018q3,31,Serbia,"ArtificialIntelligence,Cryptocurrency,Platform",1,3.9,11,1,0,8,0.8333,,,0,1,0,2820000
experty,EXY,,9000000,1/25/2018,2/25/2018,2018q1,31,Switzerland,Communication,0,3.6,22,0,0,15,0.33,,,1,1,0,9500000
icovo,OVO,1159282.08,11924721.6,10/30/2018,11/30/2018,2018q4,31,Switzerland,"Platform,Infrastructure,Cryptocurrency,Businessservices,SmartContract",1,3.7,29,1,kyc&whitelist,13,0.6,,,0,1,0,803390
onam,ONAM,2500000,15600000,11/20/2018,12/21/2018,2018q4,31,British Virgin Islands,,1,3.8,3,1,kyc&whitelist,13,0.65,1," USA, China, North Korea, Iran, Iraq",0,1,0,2000000
orca,ORCA,,9800000,8/6/2018,9/6/2018,2018q3,31,Estonia,"Platform,Cryptocurrency,Banking",0,4.2,11,0,kyc&whitelist,19,0.42,1," USA, China, Canada",0,1,1,1500000
skelpy,SKP,0,8071660,3/23/2019,4/23/2019,2019q1,31,UK,Cryptocurrency,0,3.8,6,1,0,4,0.02,,,0,1,0,83660
vernam,VRN,40000000,500000000,8/20/2018,9/20/2018,2018q3,31,Bulgaria,"Businessservices,Cryptocurrency,Platform,SmartContract,Software",1,4.2,18,1,kyc&whitelist,15,0.5,,,1,1,1,1000000
xs2-exchange,XS2,,659654,10/15/2018,11/15/2018,2018q4,31,Australia,"Banking,Cryptocurrency,Investment",1,3.9,0,1,0,5,0.25,1," China, Cuba, Ethiopia, Iran, Iraq, North Korea, Pakistan, Serbia, Sri Lanka, Sudan, Syria, Trinidad and Tobago, Tunesia, USA, Vanuatu, Yemen",0,1,0,2700
genesis-vision,GVT,,33000000,10/15/2017,11/15/2017,2017q4,31,Russia,"Investment,Cryptocurrency,Businessservices,Banking,Platform",1,3.9,16,1,0,10,,,,0,1,0,2836724
amon,AMN,3000000,25000000,3/4/2018,4/4/2018,2018q1,31,Estonia,"ArtificialIntelligence,Banking,Cryptocurrency",1,4.2,26,1,kyc&whitelist,8,,1," USA, China",0,1,0,1332600
cryptonia-poker,CPC Token,,750000000,5/1/2018,6/1/2018,2018q2,31,UK,"Entertainment,Casino&Gambling,Investment,Platform,Software",1,4,19,1,0,9,0.75,1, USA,0,1,1,7823333
qlc-chain,QLC,,6688,12/27/2017,1/27/2018,2017q4,31,Singapore,"Infrastructure,Communication",0,3.7,1,1,kyc,7,0.4,,,0,1,1,19000000
stopthefakes,STF,675000,8500000,3/21/2018,4/21/2018,2018q1,31,Czech Republic,"Education,Cryptocurrency,Internet,Infrastructure,Electronics,Communication,Businessservices,BigData,Investment,Legal,Media,Other",1,4,51,1,kyc&whitelist,10,0.7,1," USA, Belize",0,1,1,400000
3ccoin,3cCoin,11855000,82985000,5/10/2018,6/10/2018,2018q2,31,Bulgaria,"Cryptocurrency,Investment,Manufacturing",0,3.6,8,1,0,11,0.53,1, USA,1,1,0,1498000
cryptocurve,CURV,,13600000,10/30/2018,11/30/2018,2018q4,31,UK,"ArtificialIntelligence,Banking,BigData,Businessservices,Communication,Cryptocurrency,Education,Entertainment,Infrastructure,Internet,Investment,Platform",0,3.6,4,0,kyc&whitelist,10,0.5,,,0,0,1,7400000
datarius,DTRC,1000000,51000000,3/5/2018,4/5/2018,2018q1,31,Costa Rica,"Banking,Businessservices,Cryptocurrency,Internet,Investment,Platform",1,3.8,25,1,kyc,10,0.73,,,1,1,0,1611752
eventchain,EVC,,,9/13/2017,10/14/2017,2017q3,31,Canada,Entertainment,1,3.4,3,1,0,8,0.65,,,0,1,0,772896
fire-lotto,FLOT,2000000,15000000,3/15/2018,4/15/2018,2018q1,31,Cyprus,"Entertainment,Casino&Gambling",1,3.6,24,0,0,9,0.77,,,0,1,0,3740965
origami-network,ORI,259257,4320950,2/23/2018,3/26/2018,2018q1,31,France,"Platform,Businessservices,Retail",1,3.5,2,1,kyc&whitelist,3,0.7,1," USA, Canada, Singapore",0,1,0,228197
pecunio,PCO,,45000000,3/19/2018,4/19/2018,2018q1,31,United Arab Emirates,"Platform,Cryptocurrency,Investment",1,4.2,12,0,kyc,9,0.3,1," USA, China",0,1,0,20539923
algory-project,ALG,,27361800,12/8/2017,1/8/2018,2017q4,31,Poland,"Software,Investment",1,3.6,5,1,0,11,0.9729,,,0,1,0,997703
graft,GRFT,,25000000,1/18/2018,2/18/2018,2018q1,31,USA,"Cryptocurrency,Businessservices,Retail,Software,Internet",0,3.2,10,0,0,11,,1," USA, China, Canada",1,1,0,3000000
mywish,WISH,220000,2670000,10/25/2017,11/25/2017,2017q4,31,Russia,"Other,Platform",1,3.8,14,1,0,8,0.85,,,0,1,0,2670000
suchapp,SPS,,40000000,5/25/2018,6/25/2018,2018q2,31,Isle of Man,"Businessservices,Communication,Internet",1,4,6,0,kyc&whitelist,7,,0, China,0,1,0,14513770
blockmason,BCPT,,8332470,10/8/2017,11/8/2017,2017q4,31,USA,"Banking,Businessservices,Platform",0,2.9,3,1,0,4,,0, None,0,1,0,1584115
cryptorobotics,ROBO,715370,5614223.76,5/20/2018,6/20/2018,2018q2,31,Gibraltar,Cryptocurrency,1,3.3,0,0,kyc&whitelist,,0.4,1, USA,0,1,0,2144492
morpheus-network,MRPH,1800000,18000000,3/22/2018,4/22/2018,2018q1,31,Seychelles,"ArtificialIntelligence,BigData,Cryptocurrency,Infrastructure,Platform,SmartContract,Software",1,3.4,5,0,kyc,12,0.52,1," USA, China",0,1,1,9883347
propy,PRO,,100000000,8/15/2017,9/15/2017,2017q3,31,USA,Realestate,1,3.5,1,0,0,11,0.35,,,0,0,0,15077000
blocklancer,LNC,,1000000000,1/16/2018,2/16/2018,2018q1,31,Austria,Businessservices,0,3.4,15,1,0,5,,,,0,1,1,300000
