ICO,AR7,AR30,AR180
srcoin,-0.595938264,-0.611273146,-0.528363031
tv-two,0.428753179,0.002735222,-0.502822277
taklimakan-network,-0.012385673,-0.509606249,
betterbetting,-0.199196917,0.283081899,-0.528308644
jsecoin,-0.185302455,0.405768906,-0.467630342
mybit,0.207849202,-0.118297822,0.002809401
parkgene,0.345467719,-0.089748371,-0.382412938
patron,0.53922171,-0.223489155,-0.363914014
menlo-one,-0.140599326,-0.267346977,-0.86906322
tokenbox,-0.24269004,-0.320100456,-0.527484625
traxia,-0.040042195,-0.472286251,-0.393549238
scanetchain,-0.194091176,-0.281941369,-2.518742126
rightmesh,-0.240829184,-0.455546494,-0.260956855
eventchain,-0.771462343,-0.010669675,-0.6067969
leadcoin,0.215393921,-0.606465561,-0.629874165
fundrequest,-0.063126744,-0.418809368,-0.568690836
evedo,0.073832069,-0.000604658,-0.818244669
cfun,-0.3248675,-0.33251861,-0.322371021
rentberry,-0.337658523,-0.53717462,-0.785820537
paymon,0.221425914,0.081579601,-0.313860815
cyclean,-0.068454798,-0.577826288,-0.617410449
mywish,-0.753147033,-0.395984435,-0.259579264
daneel,3.156893526,1.43983336,0.118634637
webcoin,0.676570387,0.877763281,0.888624109
bitnation,-0.206648601,-0.737750141,-0.466590276
bitcoinus,-0.308720475,-0.558682709,-0.634138709
fabric-token,0.354952279,-0.382569739,-0.563085637
coinchase,0.026072254,-0.40389081,
internationalcryptox,-0.013584923,-0.275938857,-0.30051099
bitclave,0.759193978,-0.392091221,-0.384425317
naviaddress,-0.203432055,-0.579925234,-0.482105462
connectjob,-0.011821813,-0.223018339,-0.6091525
incodium,-0.430205425,-0.080407259,-0.753987696
bitrewards,-0.024442067,-0.235398925,-0.269130722
araw,0.075677182,0.834262836,-2.375143531
iungo,-0.537382525,-0.918661069,-0.746954733
emphy,-0.234061899,-1.845945689,-1.094190358
sonder,-0.412185872,-0.410583344,-0.691786124
intervalue,-0.008552154,-0.001535722,-0.556351487
joint-ventures,0.472900467,-0.612702858,-0.514716977
hurify,-0.128519568,-0.469401685,-0.449119607
bulleon,-0.45705328,-0.586482577,-3.031474233
kuende,-0.080852767,0.005174453,-0.870021285
natmin-pure-escrow,-0.557372517,-1.249941935,-1.332029044
fox-trading,1.400428418,0.246093673,2.187800072
shping,-0.248413776,0.314965939,0.372694271
payfair,-0.625663751,3.420176655,2.798383626
bunnytoken,0.089700847,0.769594843,-0.450607253
4new,-0.243182009,-0.462037081,-0.54362397
asura-coin,0.138456832,0.102948231,-0.589030151
crystal-clear,-0.743536748,-1.207766087,-1.337651773
bitrent,0.037823154,0.431736196,-0.595880896
authorship,-0.16117014,-0.885789984,-0.944110606
verime,-0.31363562,-0.588123311,-0.591924981
travelnote,-0.308934569,-0.628546993,-2.589414251
cointorox,-0.519710111,-0.976653452,-2.41122732
fortem-capital,7.646146943,3.189545202,
game-stars,1.064185907,0.141705777,0.441993483
spin-protocol,-0.186753629,-0.272191465,-0.318329751
consentium,0.104642338,-0.033910085,1.19105798
