Name,Symbol,Price,45d,90d,200d,MktCap,24hVol,Circ_Supply,Total_Supply,Brand_Buzz,Social,Avg_volume,Age_mo,Winning_months
Delizia,DELIZ,0.0013,69.66,-99.82,-99.82,0,0,0,283519,,41,0.069,3,3
Lisk Machine Learning,LML,0.0195,-83.12,-83.12,,2.34,2.09,120,400000000,0,76,11140,2,2
Fortuna,FOTA,0.0118,-1.02,-48.47,-61.2,5.65,892.14,479.997,1000000000,0,70,784317,12,12
ZINC,ZINC,0.0069,-89.47,-94.69,-95.81,37.77,221.59,5.456,22879999,50,50,1640,7,7
TokenDesk,TDS,0.0037,-88.73,-52.24,-91.49,54,6.62,14.683,14683321,50,51,28880,10,10
Block-Chain.com,BC,0.0054,-97.41,-97.67,-97.67,1.11,0.07,207.052,247000000,25,28,68,4,4
Pura,PURA,0.0077,-30.38,-71.88,-90.61,1.35,621.15,175.801,182583574,0,48,1707,46,46
PRASM,PSM,0.0002,-78.21,-92.02,-92.02,350.22,10.62,2.215,4000000000,25,38,2284,6,6
Billionaire Token,XBL,0.0267,-29.12,-53.97,-48.06,88.64,0,3.315,3315270,0,43,16,16,16
Qurito,QURO,0.0016,-5.92,-79.64,-79.64,16.57,1.47,10.398,86939132,0,55,303,7,7
PoSToken,POS,0.0057,-13.15,-75.73,-75.73,5.94,0,1.042,1240795,,30,1,16,16
DigitalPrice,DP,0.0092,-27.62,-50.1,-79.47,182.87,81,19.781,27280675,,45,59,52,52
Shekel,JEW,0.0017,154.19,44.31,-59.74,219.04,231.78,132.577,132576742,,26,83,12,12
Lambda,LAMB,0.0599,479.44,,,29.93,27.89,500,6000000000,0,34,1336487,1,1
Xchange,XCG,0.0006,-98.4,-99.23,-99.23,5.39,1.64,9.754,9753852,,28,665,5,5
Ethereum Gold,ETG,0.004,-47.12,-65.5,-65.23,47.41,276.62,12,24000000,,43,130,16,16
CapdaxToken,XCD,0.0008,-80.79,-86.32,-86.32,0,0,0,2500000000,50,51,180,3,3
Master Contract Token,MCT,0.0013,51.32,-29.47,-29.47,0,60.98,0,580000000,,44,41294,6,6
MediBit,MEDIBIT,1.37E-05,-37.85,-79.86,-79.86,0,27.56,0,50000000000,,44,18167,3,3
Databits,DTB,0.0081,-86.26,-95.46,-97.86,184.04,0,22.748,22747809,0,37,2325,22,22
Tourist Token,TOTO,5.44E-06,-65.62,-76.99,-76.99,20.31,36.32,3.733,7599974663,0,61,24470,6,6
MaxCoin,MAX,0.0141,15.32,-30.27,-79.02,864.34,150.03,61.446,61445805,0,41,367,60,60
AI Doctor,AIDOC,0.0054,-0.34,-49.25,-75.12,2.41,537.21,443.295,777777777,0,70,661847,13,13
Niobium Coin,NBC,0.0194,-30.5,-72.23,-72.23,950.32,3.74,48.928,102289706,25,67,7521,6,6
WavesGo,WGO,0.0186,20.84,99.49,5.77,149.15,2.05,8.016,8016697,0,45,315,21,21
Nerva,XNV,0.0283,-33.13,-87.28,-87.28,449.72,1.29,15.898,15898012,,33,2787,3,3
BioCoin,BIO,0.0004,25.39,-33.54,-87.8,333.41,347.24,845.786,845785803,0,44,183,12,12
Zetacoin,ZET,0.0025,94.24,91.32,29.17,430.19,11.78,169.669,169668529,,30,35404,65,65
Cryptojacks,CJ,7.90E-05,-34.56,-69.72,-79.09,32.13,11.85,406.569,406568581,,43,16,31,31
Carebit,CARE,0.0003,-21.54,-38.28,-38.28,39.78,565.88,127.047,131439711,25,28,395,5,5
EduCoin,EDU,0.0003,132.77,-20.89,-79.01,0,1.19,0,15000000000,0,61,740672,9,9
eBoost,EBST,0.0029,-88.87,-93.69,-97.51,58.12,12.81,20,80828160,,37,3649,20,20
CommunityGeneration,CGEN,7.85E-05,96.44,21.83,21.83,32.94,0,419.588,466427494,,38,0.0345,3,3
SportyCo,SPF,0.0029,-15.6,-75.74,-92.05,160.1,4.07,54.587,70673454,100,55,28142,14,14
Moin,MOIN,0.0341,82.62,-18.76,-53.6,284.89,537.96,8.346,8346149,,43,45,37,37
Bitspace,BSX,0.0015,137.2,129.3,129.3,20.43,42.26,13.609,13609483,25,32,5,4,4
Renos,RNS,0.0009,-9.44,-79.98,-94.54,30.38,0,33.356,33356077,,24,5,23,23
Gambit,GAM,1.2,-15.73,-54.64,-78.68,1.38,65.41,1.154,2599999,,56,437,45,45
Freyrchain,FREC,0.0009,12.26,-44.58,-91.21,430.34,10.28,500,10000000000,75,55,30049,9,9
CARDbuyers,BCARD,0.0002,-94.39,-97.65,-97.65,0,31.77,0,38620654,,38,210,4,4
Bitmark,BTM,0.0526,319.46,56.09,-74.34,567.34,0,10.784,10784039,0,28,60,54,54
Pesetacoin,PTC,0.0032,-20.4,-20.8,-86.8,449.04,4.96,138.59,138589919,,28,43,59,59
XPA,XPA,0.0201,-15.36,-73.01,-71.04,1.15,0,57.178,10000000000,0,52,4478,17,17
Upfiring,UFR,0.0753,1.53,-16.46,-35.34,1.63,4.62,21.6,24000000,,48,23470,15,15
PlayCoin,PLY,0.0209,-59.09,-75.69,-82.66,0,2.39,0,1000000000,25,61,2157779,7,7
FedoraCoin,TIPS,4.97E-06,52.17,-2.78,-56.48,1.05,11.19,212.27,4.83E+11,,34,5931,61,61
CampusCoin,CC,0.0002,-41.77,-73.62,-92.61,120.88,312.55,509.961,709961108,0,30,779,18,18
BrokerNekoNetwork,BNN,4.92E-06,-61.81,-68.09,-68.09,14.73,0,2.995,16800000000,0,51,347,6,6
FolmCoin,FLM,0.0007,-75.86,-79.99,-79.99,6.75,7.55,9.663,9662813,0,36,149,5,5
SmartFox,FOX,0.0002,-98.69,-99.71,-99.71,244.55,0.71,1.547,1547529,0,51,17,4,4
VestChain,VEST,0.0111,17.29,17.29,,78.3,228.75,7.078,8848000000,,29,21523,3,3
Profile Utility Token,PUT,0.0127,-15.54,5.13,-80.45,576.94,192.71,45.29,100000000,50,55,115126,13,13
Phoenixcoin,PXC,0.0019,-5.9,-56.91,-58.62,138.62,0,72.828,72827775,,24,115,67,67
Nexium,NXC,0.0013,-81.84,-92.65,-98.42,87.82,41.26,66.51,66509519,0,59,1098,26,26
KekCoin,KEK,0.0708,201.38,56.37,-17.3,758.7,850.52,10.716,11716385,0,49,38,18,18
MSD,MSD,0.0028,-37.37,-56.72,-40.66,0,12.19,0,6088400259,0,57,21658,16,16
CyberMusic,CYMT,2.64E-06,-32.39,-82.49,-82.49,37.87,14.38,14.362,17000000000,25,43,5728,5,5
TCOIN,TCN,0.0184,-59.31,-91.06,-91.06,0,153.61,0,74488866,,44,56995,5,5
FansTime,FTI,0.0014,95.08,-2.38,-84.61,4.06,193.93,2.85,10000000000,,66,174718,7,7
NewYorkCoin,NYC,1.73E-05,27.4,24.99,-72.94,2.32,1.94,134.025,1.34E+11,0,40,1379,57,57
Thingschain,TIC,2.66E-06,-94.64,-98.52,-98.52,30.48,15.56,11.445,26000000000,25,61,14983,6,6
Mooncoin,MOON,1.60E-05,29.91,8.63,-65.3,3.6,302.81,225.619,2.26E+11,,27,580,61,61
Beetle Coin,BEET,0.0293,2652,1738,1738,5.46,282.65,186.232,186231678,,39,3294,5,5
BriaCoin,BRIA,0.0659,-56.37,-78.27,-91.72,48.99,139.1,743.431,743431,0,59,2027,19,19
BitcoiNote,BTCN,0.0154,78.98,27.02,27.02,158.92,263.45,10.297,10297113,,43,753,6,6
Eroscoin,ERO,0.0042,-30.65,-70.33,-86.19,777.8,1.36,186.744,240000000,0,60,532,14,14
Almeela,KZE,0.1827,-0.1,,,0,109.65,0,400000000,0,63,6227412,1,1
Deutsche eMark,DEM,0.0025,-49.74,-76.42,-82.99,106.2,0.82,41.998,48979594,,28,171,62,62
AICHAIN,AIT,0.0023,69.62,14.45,-88.7,1.24,119.97,535.067,2100000000,,46,14787,13,13
CryptalDash,CRD,0.0032,-56.97,-62.71,-62.71,0,3.87,0,1000000000,,44,39357,4,4
Target Coin,TGT,0.0006,-18.57,-52.93,-85.05,526.8,0.79,952.43,2000100000,0,55,47,16,16
ZeusNetwork,ZEUS,9.00E-07,-10.95,-67.1,-67.1,62.92,179.98,70,1.00E+11,0,43,474,4,4
Crypto Harbor Exchange,CHE,6.98E-05,66.26,-57.78,-57.78,0,49.31,0,50000000000,,41,8429,5,5
INMAX,INX,1.87,,,,6.35,76.17,3.406,6500000,0,57,71002,1,1
GoHelpFund,HELP,0.0162,-63.59,-8.92,-8.92,50.95,21.37,3.145,37000000,,33,11806,4,4
Alchemint Standards,SDS,0.0013,-38.96,-78.42,-78.42,422.76,22.59,317.947,1000000000,75,29,52244,6,6
Energo,TSL,0.0019,16.29,-53.35,-84.1,1.14,52.66,602.379,1000000000,0,67,77956,14,14
AiLink Token,ALI,0.0004,-8.86,-65.24,-65.24,1,27.9,2.633,10000000000,25,67,201803,5,5
EZOOW,EZW,2.67E-06,-10.56,-79.21,-79.21,30.8,0,11.552,14000000000,0,55,124,3,3
Bitcloud,BTDX,0.004,-42.3,-71.01,-93.14,117.11,0,29.563,29562815,,28,25,29,29
ATC Coin,ATCC,0.0066,-13.79,-57.51,-57.51,2.09,9.99,319.212,410000000,,44,224044,19,19
Auroracoin,AUR,0.0413,-60.27,-72.76,-88,725.44,287.22,17.582,17582030,0,37,266,59,59
Mithril Ore,MORE,25.18,90.39,69.22,69.22,321.1,1.78,12.752,500000,50,41,1951,5,5
Davinci Coin,DAC,0.0056,-49.61,-5.13,-5.13,17.62,944.7,3.162,8800000000,,33,2128022,6,6
WomenCoin,WOMEN,2.93E-06,-9.31,-31.5,-96.01,141.9,150.71,48.459,48459472454,,28,253,19,19
Steneum Coin,STN,0.0037,-72.42,-90.3,-93.08,10.73,0,2.927,6081623,,43,52,13,13
Rupee,RUP,0.007,-53.32,-67.4,-67.4,239.49,18.29,34.44,34439700,0,52,1974,19,19
Bitibu Coin,BTB,0.041,-47.75,-64.94,-64.94,174.34,0,4.252,400000000,,41,0,3,3
Decentralized Asset Trading Platform,DATP,3.50E-06,2.66,-45.16,-45.16,41.32,16.82,11.821,15000000000,0,41,8466,4,4
Cheesecoin,CHEESE,9.48E-05,-17.37,-27.97,-27.97,30.8,14.64,324.961,324961325,,19,19,4,4
FREE Coin,FREE,2.00E-07,49.2,-99.1,-99.1,1.7,5.12,8.7,1.00E+13,,66,5996,4,4
NeosCoin,NEOS,0.1228,-27.71,-57.13,-57.13,530.75,918.54,4.322,4322435,,37,784,53,53
Graphcoin,GRPH,0.0022,-79.43,-86.74,-86.74,17.53,0,7.822,13541673,,28,94,5,5
eosBLACK,BLACK,0.0076,-79.78,-97.13,-97.13,0,6.74,0,3000000000,0,44,3121,5,5
Adzcoin,ADZ,0.0014,-58.98,-78.98,-89.65,66.19,239.6,46.539,46539103,0,40,606,37,37
Aston,ATX,0.0064,-17.16,-69.24,-82.82,5.25,0,824,1000000000,0,63,888,9,9
Ergo,EFYT,2.29,-0.17,3.68,-26.41,909.78,6.38,397.3,5000000,0,39,203,19,19
Bitblocks,BBK,0.0004,-43.93,-95.25,-95.25,46,209.22,117.737,162575170,,31,1005,6,6
ProCurrency,PROC,0.0018,96.21,58.52,-38.61,185.46,5.07,102.048,10009134232,0,24,503,21,21
IGToken,IG,0.0001,105.11,-42.26,-42.26,235.23,1.02,1.938,6562786056,0,19,147672,6,6
4NEW,KWATT,0.0044,-72.24,-78.4,-78.4,238.71,69.52,54.614,150000000,75,55,41765,5,5
Nasdacoin,NSD,0.1809,-76.91,-62.55,-62.55,3.6,398.08,19.902,19901513,0,64,138272,5,5
Hydro Protocol,HOT,0.0061,46.68,-30.06,-78.84,4.25,143.18,702,1560000000,0,66,16022,13,13
Block Array,ARY,0.0052,-40.07,-71.78,-88.49,358.65,2.69,68.431,88409933,50,57,17637,12,12
SCRIV NETWORK,SCRIV,0.0023,-33.19,-84.34,-84.34,56.15,9.65,24.744,42007077,,33,7734,4,4
Onix,ONX,0.0006,-49.74,-28.52,-90.25,59.22,25.96,107.073,112119457,50,13,123,19,19
Ourcoin,OUR,0.0052,5.86,-86.42,-86.42,3.22,679.21,617.697,931510,,40,1505,4,4
Traid,TRAID,0.0025,164.85,-28.33,-28.33,38.62,2.06,15.239,38179240,,38,404,3,3
