Name,Start Date,End Date,Soft Cap,Hard Cap,Funds Raised,Amount of Tokens at ICO,Consensus Mechanisms,Purpose,Type,Platform,On Exchanges?,Market Price,Market Volume,Market Cap,Circulating Supply,Bullish vs. Bearish Sentiment,Popularity
GIF by SOCIFI (GIF),12/6/2017,12/26/2017,,,,,,,,,,,,,,,
Homni (HOMNI),11/16/2017,12/26/2017,,,,,,,,,,,,,,,
Nitro (NOX),12/1/2017,12/26/2017,,,,,,,,,,,,,,,
Sirin Labs (SRN),12/12/2017,12/26/2017,,,,,,,,,,,,,,,
AB-CHAIN (ABC),10/22/2017,12/25/2017,,,,,,,,,,,,,,,
Arbitrage Crypto Trader (ACT),10/19/2017,12/25/2017,,,,,,,,,,,,,,,
ASTRcoin (ASTR),11/6/2017,12/25/2017,,,,,,,,,,,,,,,
CryptoCopy (CPY),11/11/2017,12/25/2017,,,,,,,,,,,,,,,
INS Ecosystem (INS),12/4/2017,12/25/2017,,,,,,,,,,,,,,,
"Movement App, Pre-ICO (MOVE)",12/15/2017,12/25/2017,,,,,,,,,,,,,,,
Opporty (OPP),11/27/2017,12/25/2017,,,,,,,,,,,,,,,
Ponsumer (PONS),11/10/2017,12/25/2017,,,,,,,,,,,,,,,
REGA Risk Sharing (RST),11/24/2017,12/25/2017,,,,,,,,,,,,,,,
Vectorspace (VEC),11/18/2017,12/25/2017,,,,,,,,,,,,,,,
Virtonomics ICO (VIC),11/25/2017,12/25/2017,,,,,,,,,,,,,,,
Bitnation (PAT),11/24/2017,12/24/2017,,,,,,,,,,,,,,,
RoboAdvisorCoin (RAC),11/24/2017,12/24/2017,,,,,,,,,,,,,,,
Robot Trading (RTD),10/23/2017,12/24/2017,,,,,,,,,,,,,,,
TokenDesk (TDS),10/3/2017,12/24/2017,,,,,,,,,,,,,,,
Bread (BRD),12/15/2017,12/23/2017,,,,,,,,,,,,,,,
FUELDApp (FUELD),11/23/2017,12/23/2017,,,,,,,,,,,,,,,
Gaming Stars (GAMES),11/23/2017,12/23/2017,,,,,,,,,,,,,,,
Rocket Pool (RPL),11/25/2017,12/23/2017,,,,,,,,,,,,,,,
Smart Identity (ATHAU),11/28/2017,12/23/2017,,,,,,,,,,,,,,,
Telcoin (TEL),12/11/2017,12/23/2017,,,,,,,,,,,,,,,
Sola (SOL),11/27/2017,12/22/2017,,,,,,,,,,,,,,,
#Hearthy (HER),10/14/2017,12/21/2017,,,,,,,,,,,,,,,
Acebusters (NTZ),9/20/2017,12/21/2017,,,,,,,,,,,,,,,
Blocklancer (LNC),11/21/2017,12/21/2017,,,,,,,,,,,,,,,
Debitum Network (DEB),12/7/2017,12/21/2017,,,,,,,,,,,,,,,
Dopameme (DMT),11/21/2017,12/21/2017,,,,,,,,,,,,,,,
DropDeck (DDD),11/21/2017,12/21/2017,,,,,,,,,,,,,,,
Game Project (GMIT),12/7/2017,12/21/2017,,,,,,,,,,,,,,,
Gaze Coin (GZE),12/10/2017,12/21/2017,,,,,,,,,,,,,,,
Heardbeats (HBT),11/24/2017,12/21/2017,,,,,,,,,,,,,,,
Nebeus (NBTK),10/8/2017,12/21/2017,,,,,,,,,,,,,,,
PikcioChain (PKC),11/23/2017,12/21/2017,,,,,,,,,,,,,,,
Prosense (VRP),10/18/2017,12/21/2017,,,,,,,,,,,,,,,
Sparkle Coin (SPRK),9/19/2017,12/21/2017,,,,,,,,,,,,,,,
TeleX AI (TLX),11/21/2017,12/21/2017,,,,,,,,,,,,,,,
Assetron Energy (ASTRN),11/20/2017,12/20/2017,,,,,,,,,,,,,,,
Atrix (ATRIX),11/25/2017,12/20/2017,,,,,,,,,,,,,,,
Block Bank (BBRT),11/20/2017,12/20/2017,,,,,,,,,,,,,,,
Blockchain Taxi (BCT),12/15/2017,12/20/2017,,,,,,,,,,,,,,,
Chainium (CHX),11/27/2017,12/20/2017,,,,,,,,,,,,,,,
Giga Giving (GC),11/15/2017,12/20/2017,,,,,,,,,,,,,,,
Gizer (GZR),11/30/2017,12/20/2017,,,,,,,,,,,,,,,
Lordmancer II (LC),11/7/2017,12/20/2017,,,,,,,,,,,,,,,
MaxiTube (TUBE),11/30/2017,12/20/2017,,,,,,,,,,,,,,,
MDK (MDK),11/29/2017,12/20/2017,,,,,,,,,,,,,,,
Rentberry — presale (BERRY),12/5/2017,12/20/2017,,,,,,,,,,,,,,,
SISA (SISA),11/11/2017,12/20/2017,,,,,,,,,,,,,,,
SRCoin (SRCO),11/15/2017,12/20/2017,,,,,,,,,,,,,,,
Swisstok (SWS),11/23/2017,12/20/2017,,,,,,,,,,,,,,,
The Veris Foundation (VRS),11/20/2017,12/20/2017,,,,,,,,,,,,,,,
Vrcoin (VRC),11/20/2017,12/20/2017,,,,,,,,,,,,,,,
ARRM (ARM),11/16/2017,12/19/2017,,,,,,,,,,,,,,,
Foreground (DEAL),11/28/2017,12/19/2017,,,,,,,,,,,,,,,
HashHive (CELL),11/20/2017,12/19/2017,,,,,,,,,,,,,,,
Kikohash (KIKO),11/21/2017,12/19/2017,,,,,,,,,,,,,,,
Miniapps.pro (MAT),10/17/2017,12/19/2017,,,,,,,,,,,,,,,
Mirocana (MIRO),11/19/2017,12/19/2017,,,,,,,,,,,,,,,
PayperEx (PAX),8/20/2017,12/19/2017,,,,,,,,,,,,,,,
Sportience (SRT),12/5/2017,12/19/2017,,,,,,,,,,,,,,,
Bank of Memories (BMC),11/20/2017,12/18/2017,,,,,,,,,,,,,,,
Demeter (DMT),11/18/2017,12/18/2017,,,,,,,,,,,,,,,
Investy (IVC),11/24/2017,12/18/2017,,,,,,,,,,,,,,,
PROPS by YouNow (presale) (PROPS),12/11/2017,12/18/2017,,,,,,,,,,,,,,,
Rhovit (RBIT),11/20/2017,12/18/2017,,,,,,,,,,,,,,,
Tigereum (TIG),12/8/2017,12/18/2017,,,,,,,,,,,,,,,
Cooonet (COOO),10/14/2017,12/17/2017,,,,,,,,,,,,,,,
DeHedge (DHT),12/4/2017,12/17/2017,,,,,,,,,,,,,,,
Neufund (NEU),11/17/2017,12/17/2017,,,,,,,,,,,,,,,
RefToken (RFR),10/1/2017,12/17/2017,,,,,,,,,,,,,,,
VLB (VLB),11/27/2017,12/17/2017,,,,,,,,,,,,,,,
Global Crypto Bank (BANK),10/29/2017,12/16/2017,,,,,,,,,,,,,,,
Mavin (MVN),11/22/2017,12/16/2017,,,,,,,,,,,,,,,
TriForce Tokens (TFT),10/10/2017,12/16/2017,,,,,,,,,,,,,,,
Aigang (AIG),11/15/2017,12/15/2017,,,,,,,,,,,,,,,
Etheal (HEAL),11/29/2017,12/15/2017,,,,,,,,,,,,,,,
Gatcoin (presale) (GAT),10/27/2017,12/15/2017,,,,,,,,,,,,,,,
MediBloc (MED),11/20/2017,12/15/2017,,,,,,,,,,,,,,,
Naga Group (NGC),11/19/2017,12/15/2017,,,,,,,,,,,,,,,
Nebulas (NAS),12/1/2017,12/15/2017,,,,,,,,,,,,,,,
Protos (PRTS),10/8/2017,12/15/2017,,,,,,,,,,,,,,,
Rhovit (RBIT),11/15/2017,12/15/2017,,,,,,,,,,,,,,,
Worldcore (WRC),10/13/2017,12/15/2017,,,,,,,,,,,,,,,
GET-Protocol (GET),10/30/2017,12/13/2017,,,,,,,,,,,,,,,
Pally (PAL),8/14/2017,12/13/2017,,,,,,,,,,,,,,,
Credo (CRD),10/1/2017,12/12/2017,,,,,,,,,,,,,,,
CrowdWiz (presale) (WIZ),11/20/2017,12/11/2017,,,,,,,,,,,,,,,
Potentiam (PTM),11/10/2017,12/11/2017,,,,,,,,,,,,,,,
Rexpax (REXX),12/5/2017,12/11/2017,,,,,,,,,,,,,,,
Spectre (SPEC),11/17/2017,12/10/2017,,,,,,,,,,,,,,,
SportyFi (SPF),11/21/2017,12/8/2017,,,,,,,,,,,,,,,
Universa (UTN),10/27/2017,12/8/2017,,,,,,,,,,,,,,,
Hut34 Project (ENT),11/1/2017,12/7/2017,,,,,,,,,,,,,,,
Redemption Tecnologies (BUZZ),11/7/2017,12/7/2017,,,,,,,,,,,,,,,
Wishfinance (WISH),10/1/2017,12/7/2017,,,,,,,,,,,,,,,
AmberPort.io (AMBR),9/14/2017,12/6/2017,,,,,,,,,,,,,,,
Global Jobcoin (GJC),10/27/2017,12/6/2017,,,,,,,,,,,,,,,
Token Security Scheme (TSS),11/6/2017,12/6/2017,,,,,,,,,,,,,,,
Tokens.net (DTR),11/6/2017,12/6/2017,,,,,,,,,,,,,,,
Cashaa Ltd. (CAS),11/6/2017,12/5/2017,,,,,,,,,,,,,,,
Leverj (LEV),11/7/2017,12/5/2017,,,,,,,,,,,,,,,
Galactikka (GALA),10/8/2017,12/4/2017,,,,,,,,,,,,,,,
CommerceBlock (CBT),10/31/2017,12/3/2017,,,,,,,,,,,,,,,
ABR (AUGM),9/30/2017,12/1/2017,,,,,,,,,,,,,,,
Anna (ANNA),10/9/2017,12/1/2017,,,,,,,,,,,,,,,
Betmaster (BETM),9/5/2017,12/1/2017,,,,,,,,,,,,,,,
Blockstack (STX),11/16/2017,12/1/2017,,,,,,,,,,,,,,,
Boro (BORO),10/30/2017,12/1/2017,,,,,,,,,,,,,,,
CLIMATECOIN (CO2),10/31/2017,12/1/2017,,,,,,,,,,,,,,,
DNX Community (DNX),10/31/2017,12/1/2017,,,,,,,,,,,,,,,
Hacken (HKN),10/30/2017,12/1/2017,,,,,,,,,,,,,,,
LIKE (LIKE),9/6/2017,12/1/2017,,,,,,,,,,,,,,,
ODMCoin (ODMC),10/31/2017,12/1/2017,,,,,,,,,,,,,,,
Playkey (PKT),10/31/2017,12/1/2017,,,,,,,,,,,,,,,
Proof Suite (PRFT),10/31/2017,12/1/2017,,,,,,,,,,,,,,,
Relest (REST),11/25/2017,12/1/2017,,,,,,,,,,,,,,,
Rockchain (ROK),10/31/2017,12/1/2017,,,,,,,,,,,,,,,
ScriptDrop (AHC),10/31/2017,12/1/2017,,,,,,,,,,,,,,,
Simple Token (ST),11/14/2017,12/1/2017,,,,,,,,,,,,,,,
"ULedger, Inc. (ULD)",9/10/2017,12/1/2017,,,,,,,,,,,,,,,
ZILLA (ZLA),9/25/2017,12/1/2017,,,,,,,,,,,,,,,
Acuitty Global Services Exchange (ACT),9/14/2017,11/30/2017,,,,,,,,,,,,,,,
Anti Bureaucracy Coin (ABC),11/26/2017,11/30/2017,,,,,,,,,,,,,,,
Arbi (ARBI),10/29/2017,11/30/2017,,,,,,,,,,,,,,,
Armor Ceramics (ACR),10/18/2017,11/30/2017,,,,,,,,,,,,,,,
