ICO,AR7,AR30,AR180,ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
thekey,0.081574289,-0.536089946,-0.620279386,thekey,TKY,,22000000,1/15/2018,1/15/2018,2018q1,1,China,"BigData,Platform,ArtificialIntelligence,SmartContract",0,3.4,17,0,kyc&whitelist,13,0.51,1," USA, Singapore, China",0,0,0,22000000
adtoken,-0.534850639,-0.594025826,-4.178274081,adtoken,ADT,,,6/26/2017,6/26/2017,2017q2,1,USA,"Platform,Software",1,1.9,3,0,0,,0.73,,,0,1,0,10000000
jibrel-network,0.185373784,-0.394868119,-0.619366688,jibrel-network,JNT,,30000000,11/27/2017,1/1/2018,2017q4,35,Switzerland,"Cryptocurrency,Banking,Investment",1,4.3,33,0,0,9,0.6,,,0,1,0,30000000
remme,-0.197991647,-0.367042599,-0.389211861,remme,REM,480000,20000000,2/13/2018,2/22/2018,2018q1,10,British Virgin Islands,"Platform,Businessservices,Software,Internet",1,4.3,25,1,0,11,0.5,,,0,0,0,20000000
v-id,-0.249217347,-0.512641761,-0.562174373,v-id,VIDT,1000000,8000000,10/15/2018,12/20/2018,2018q4,66,Netherlands,"Businessservices,Platform",1,4.5,5,1,kyc&whitelist,6,0.5,1," USA, Canada, China, North Korea, Venezuela, Cayman, Somalia",1,1,1,3400000
rotharium,-0.12496975,-0.129698923,-0.403024734,rotharium,RTH,,382238430,12/13/2017,1/14/2018,2017q4,32,Austria,Platform,1,2.9,0,0,0,9,0.579,,,0,1,0,5000000
commerceblock,0.476500193,0.455956395,-0.472601576,commerceblock,CBT,2000000,25000000,11/28/2017,12/19/2017,2017q4,22,UK,"Businessservices,Platform,Banking",1,3.8,7,0,0,7,0.4,,,0,1,0,8820470
peculium,-0.248731134,-0.209737345,-0.308341275,peculium,PCL,7971600,22776000,12/21/2017,1/24/2018,2017q4,34,France,"Businessservices,BigData,Banking,ArtificialIntelligence,Cryptocurrency,Investment,Legal,Platform,SmartContract,Software",1,4,2,1,kyc,40,0.25,,,0,1,1,9917634
amo-coin,-0.029348743,0.255075126,-0.214654498,amo-coin,AMO,,1040000000,7/14/2018,7/21/2018,2018q3,8,Singapore,"Cryptocurrency,Platform",1,4.2,7,1,kyc,48,0.4,0, China,0,1,1,1399000
deepbrain-chain,0.545070947,0.774214346,-0.004205695,deepbrain-chain,,,5000000,12/15/2017,12/15/2017,2017q4,1,Singapore,"ArtificialIntelligence,Platform",1,2.6,4,1,0,3,0.1,,,0,1,0,11750200
red-pulse,-0.235214535,-0.265918822,-0.673200099,red-pulse,PHX,,,10/8/2017,10/8/2017,2017q4,1,Hong Kong,Businessservices,0,2.8,0,1,0,3,0.4,,,0,0,0,15000000
inlock,0.073046983,-0.109434605,,inlock,ILK,15000000,27500000,9/15/2018,11/26/2018,2018q3,72,Estonia,"Banking,Businessservices,Platform",1,4.4,4,1,kyc&whitelist,13,0.75,1," USA, Bolivia, Ecuador, Pakistan, Iran, Algeria, Morocco, PeopleÉ??s Republic of China, North-Korea, Libya, Cuba",0,1,0,3000000
etherparty,-0.471759971,-0.687868778,0.4601824,etherparty,FUEL,,65000000,10/1/2017,10/29/2017,2017q4,28,Canada,Cryptocurrency,1,2.9,1,0,0,26,0.05,,,0,1,0,33000000
